88	141	3
88	153	2
88	157	10
88	159	1
88	172	1
88	235	1
88	509	2
88	616	1
88	646	1
88	670	3
88	698	1
88	770	5
88	912	2
88	942	1
141	153	2
141	157	6
141	235	2
141	291	1
141	489	6
141	509	2
141	616	10
141	670	3
141	770	11
141	942	3
153	159	10
153	172	12
153	235	12
153	291	4
153	489	5
153	509	22
153	616	3
153	643	4
153	670	3
153	698	4
153	734	2
153	761	3
153	770	31
153	775	7
153	912	1
153	922	1
153	940	4
153	942	3
157	159	1
157	172	5
157	235	10
157	291	9
157	489	27
157	509	40
157	616	11
157	643	6
157	646	17
157	670	8
157	698	8
157	734	9
157	761	1
157	770	38
157	775	16
157	912	6
157	922	10
157	940	5
157	942	4
159	235	2
159	761	2
159	770	2
172	698	2
172	761	2
172	770	7
172	922	1
235	291	3
235	489	2
235	509	1
235	616	3
235	646	1
235	734	1
235	761	1
235	770	9
235	775	3
235	942	1
291	509	1
291	670	2
291	770	1
291	940	4
489	509	4
489	616	6
489	770	11
489	775	3
489	922	1
509	616	3
509	670	3
509	734	2
509	770	12
509	775	3
509	912	1
509	942	3
616	646	1
616	670	1
616	770	9
616	775	1
643	698	1
643	770	1
646	770	8
670	698	1
670	770	7
670	775	1
670	912	1
698	761	1
698	770	4
698	912	1
698	942	1
734	770	1
770	775	2
770	912	2
770	922	4
770	942	8
775	942	2
912	942	1
940	942	1
