id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
646	ontology	0.5424	0.6586	2	11	50	18	2020.2778	6.0556	0.3203
649	ontology-based recommender system	0.0893	0.6071	2	5	10	4	2024	0.25	0.0329
670	personalization	0.6644	-0.1636	3	24	52	15	2021.4667	10.4667	0.6078
675	personalized recommendation	-0.4384	-0.3488	5	4	5	3	2023	11.3333	1.2252
687	popularity bias	-0.7938	-0.9586	16	2	4	4	2023.25	17.5	1.1139
694	pre-trained language model	-0.409	0.9782	14	5	14	8	2024	32.5	2.3639
698	preference elicitation	-0.2661	-0.0644	9	22	39	18	2017.5556	30.5	1.8597
705	preference-based feedback	1.3653	0.012	6	7	14	7	2015	12.2857	0.7431
716	privacy	0.6312	-0.2497	3	8	17	3	2021	16.6667	0.4593
723	proceedings	-0.811	0.2865	8	4	8	3	2022.6667	0	0
726	product functional requirements	0.6195	0.6071	2	7	25	7	2017.7143	10	0.6782
733	prompt engineering	0.1637	0.4357	1	6	9	4	2025	6.5	0.9283
734	prompt learning	-0.2986	0.9812	14	9	20	12	2024.1667	19.5833	1.685
737	prompt-tuning	-0.3222	1.1023	14	2	3	3	2025.6667	1	1.1453
740	public administration	-0.5241	0.7271	2	3	8	3	2020.6667	9.3333	0.2355
748	question generation	-0.3318	0.2423	9	3	5	3	2022.3333	17.6667	1.0408
758	recipe recommendation	1.3262	-0.1638	6	4	6	3	2021	12	0.2666
761	recommendation	-0.4779	-0.2476	4	12	17	10	2022.6	50	1.7451
770	recommender systems	0.0193	0.1152	8	70	291	130	2019.8923	21.3154	1.0441
775	reinforcement learning	-0.1664	-0.5448	12	23	63	28	2019.4643	45.8214	1.631
783	representation learning	0.4958	0.4841	11	3	5	3	2024	11	3.5503
793	retrieval-augmented generation	-0.6816	0.6482	11	4	8	4	2025.25	1	0.4225
809	self-attention mechanism	-0.1889	-0.6156	5	4	4	3	2022.6667	3.6667	0.2557
817	semantic web	0.2516	0.7094	2	9	24	6	2020	15.3333	0.799
822	sentiment analysis	0.0049	0.4232	2	8	10	4	2024.75	1	0.3498
846	social signals	0.9339	-0.1714	3	3	5	3	2014	4.6667	0.7076
847	socially-aware	1.1856	-0.2003	6	4	5	3	2020.3333	40.3333	1.5327
862	symbiotic ai	-0.7941	-0.107	4	5	8	3	2024.3333	3	0.4919
870	tagging	0.38	-0.5832	10	6	10	3	2011	55.3333	1.6761
871	task-oriented dialogue	0.329	0.2176	1	5	6	3	2022	32.3333	1.6027
872	task-oriented dialogue systems	0.2776	-0.0873	1	6	6	3	2021.6667	21.6667	0.9426
890	trade-offs	1.46	-0.0165	6	5	9	3	2018.6667	2.6667	0.0664
894	transformer	-0.1696	0.5151	1	10	17	7	2023.8571	13.8571	1.2431
903	trust	0.7339	-0.2414	3	13	18	6	2023.1667	24.6667	5.6009
912	user experience	0.223	0.099	1	14	21	10	2023.1	15.4	1.7014
919	user interaction	0.8188	0.081	6	9	11	3	2022	14	0.3027
920	user interface	0.6621	-0.0995	3	11	15	5	2021.2	30.2	1.9959
922	user modeling	0.5858	0.0748	5	13	27	11	2018.9091	16	0.8785
927	user preference	-0.5021	-0.6335	4	5	6	6	2023.6667	13.8333	0.5913
931	user preference modeling	0.1029	0.4379	1	6	8	4	2023.25	10.75	0.91
936	user satisfaction	0.4358	-0.0084	1	5	8	3	2012.3333	15.6667	0.7373
940	user simulation	0.3768	0.2068	1	6	18	10	2023.3	24.6	1.1473
941	user simulator	-0.1216	-0.2788	5	6	14	6	2023.8333	11.5	2.445
942	user study	0.422	-0.281	1	21	44	14	2017.3571	42.3571	1.7484
946	user-centric	0.7405	0.0986	6	6	8	3	2024.3333	13	0.9987
981	workshop	-0.7994	0.3099	8	4	8	3	2022.6667	0	0
