11	157	3
11	430	1
11	489	1
11	616	1
11	698	1
11	770	2
11	775	1
88	89	1
88	110	1
88	140	1
88	141	3
88	153	2
88	157	10
88	159	1
88	172	1
88	235	1
88	266	2
88	304	1
88	397	1
88	501	1
88	509	2
88	616	1
88	646	1
88	670	3
88	698	1
88	770	5
88	894	1
88	903	2
88	912	2
88	920	1
88	942	1
89	157	4
89	350	1
89	509	1
89	894	1
89	912	1
110	153	1
110	157	4
110	159	1
110	489	1
110	509	1
110	616	1
110	770	4
110	775	1
117	157	5
117	251	1
117	341	1
117	646	3
117	726	2
117	770	5
117	942	2
136	153	1
136	157	5
136	489	3
136	616	1
140	616	1
140	698	1
140	761	1
140	770	4
141	153	2
141	157	6
141	203	2
141	235	2
141	266	2
141	291	1
141	304	1
141	397	1
141	430	1
141	484	2
141	489	6
141	509	2
141	616	10
141	670	3
141	770	11
141	817	3
141	903	2
141	920	1
141	941	1
141	942	3
142	153	1
142	157	5
142	235	1
142	616	1
142	775	1
153	159	10
153	172	12
153	194	4
153	203	3
153	224	1
153	235	12
153	291	4
153	303	8
153	350	1
153	366	2
153	370	5
153	430	3
153	461	3
153	489	5
153	509	22
153	538	2
153	616	3
153	643	4
153	670	3
153	694	1
153	698	4
153	734	2
153	761	3
153	770	31
153	775	7
153	894	3
153	903	1
153	912	1
153	920	1
153	922	1
153	927	1
153	940	4
153	942	3
157	159	1
157	162	5
157	172	5
157	203	2
157	224	3
157	235	10
157	251	1
157	266	5
157	291	9
157	303	1
157	304	4
157	341	8
157	350	4
157	366	3
157	370	2
157	397	3
157	430	3
157	461	5
157	489	27
157	501	9
157	509	40
157	616	11
157	643	6
157	646	17
157	670	8
157	694	7
157	698	8
157	705	3
157	726	7
157	734	9
157	761	1
157	770	38
157	775	16
157	817	3
157	894	3
157	903	2
157	912	6
157	920	2
157	922	10
157	927	1
157	940	5
157	941	5
157	942	4
159	194	1
159	235	2
159	430	1
159	538	1
159	761	2
159	770	2
161	172	1
161	430	1
161	698	1
161	761	1
161	770	4
161	912	1
172	203	1
172	341	1
172	698	2
172	705	1
172	761	2
172	770	7
172	922	1
194	509	3
194	616	1
194	761	2
203	235	1
203	266	1
203	509	1
203	770	1
203	775	1
224	761	1
235	291	3
235	430	1
235	461	2
235	484	3
235	489	2
235	509	1
235	538	4
235	616	3
235	646	1
235	734	1
235	761	1
235	770	9
235	775	3
235	894	1
235	941	1
235	942	1
251	705	2
266	509	2
266	670	3
266	770	3
266	903	1
266	922	1
291	509	1
291	670	2
291	770	1
291	940	4
303	489	1
303	509	2
303	670	2
303	770	4
304	397	1
304	670	1
304	698	1
304	770	3
304	903	2
304	920	2
304	942	2
341	501	2
341	646	4
341	770	2
341	922	2
350	366	1
350	509	3
350	770	2
350	775	1
350	941	1
366	370	1
366	489	2
366	509	1
366	922	1
370	775	4
397	770	2
397	903	1
397	920	1
397	922	1
397	942	1
430	616	1
430	770	4
430	942	1
461	698	1
461	770	5
461	920	1
484	489	2
484	538	3
484	616	2
484	770	3
489	509	4
489	616	6
489	694	2
489	770	11
489	775	3
489	817	3
489	894	2
489	922	1
489	927	1
501	646	7
501	726	2
501	770	3
501	817	2
509	616	3
509	670	3
509	734	2
509	770	12
509	775	3
509	894	2
509	912	1
509	941	4
509	942	3
538	770	3
616	646	1
616	670	1
616	770	9
616	775	1
616	817	3
616	894	1
643	698	1
643	770	1
646	726	5
646	770	8
646	817	2
670	698	1
670	770	7
670	775	1
670	903	1
670	912	1
694	734	2
694	770	2
698	761	1
698	770	4
698	912	1
698	920	1
698	942	1
726	770	5
726	817	2
726	922	2
734	770	1
734	894	1
761	927	1
770	775	2
770	817	3
770	894	2
770	903	2
770	912	2
770	920	2
770	922	4
770	942	8
775	941	2
775	942	2
903	920	1
903	942	1
912	942	1
920	942	2
940	942	1
