cluster,n_terms,total_occurrences,avg_year_occ_weighted,top_terms,all_terms,cluster_name
4,9,80,2018.6,"ontology, user modeling, knowledge-based recommender system, compound critiquing, functional requirements, product functional requirements, preference-based feedback, diversity",ontology; user modeling; knowledge-based recommender system; compound critiquing; functional requirements; product functional requirements; preference-based feedback; diversity; semantic web,
1,16,416,2021.0,"conversational recommendation, recommender systems, critiquing, preference elicitation, conversational search, online learning, recommendation, user experience",conversational recommendation; recommender systems; critiquing; preference elicitation; conversational search; online learning; recommendation; user experience; collaborative filtering; information retrieval; datasets; user preference; conversational systems; conversational; active learning; dialogue generation,
3,11,118,2021.0,"conversational agents, chatbot, personalization, user study, interactive recommendation, explanation, e-commerce, deep learning",conversational agents; chatbot; personalization; user study; interactive recommendation; explanation; e-commerce; deep learning; human-computer interaction; trust; user interface,
5,5,81,2021.5,"dialogue systems, natural language processing, conversational ai, knowledge base, memory network",dialogue systems; natural language processing; conversational ai; knowledge base; memory network,
8,1,9,2021.8,explainable recommendation,explainable recommendation,
2,13,530,2022.5,"conversational recommender systems, large language models, knowledge graph, reinforcement learning, prompt learning, pre-trained language model, graph representation learning, transformer",conversational recommender systems; large language models; knowledge graph; reinforcement learning; prompt learning; pre-trained language model; graph representation learning; transformer; graph neural network; contrastive learning; generative ai; user simulator; chatgpt,
7,1,6,2023.0,conversational ui design,conversational ui design,
6,2,25,2023.1,"evaluation, user simulation",evaluation; user simulation,
