id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
11	active learning	-0.3958	-0.0021	1	7	10	5	2019.8	6.2	0.3346
88	chatbot	0.1047	-0.2369	3	24	46	20	2021.7	12.9	0.7749
89	chatgpt	0.0006	0.378	2	6	9	5	2024.2	3.4	0.5563
110	collaborative filtering	-0.6173	0.3164	1	9	15	8	2018.875	8.125	0.5279
117	compound critiquing	1.0928	-0.1612	4	7	19	8	2014.125	14.125	0.6847
136	contrastive learning	-0.7579	0.7375	2	4	10	6	2024.5	15.8333	0.9344
140	conversational	-0.4856	-0.4358	1	5	8	5	2020.2	11.8	0.4789
141	conversational agents	0.1346	-0.0572	3	21	65	22	2021.3636	13.3182	0.5504
142	conversational ai	-0.52	0.7018	5	5	9	9	2024.1111	1.8889	0.2092
153	conversational recommendation	-0.3141	-0.1181	1	38	177	153	2022.3856	23.4444	1.7509
157	conversational recommender systems	0.1336	0.1709	2	51	364	312	2021.8109	14.2885	0.8937
159	conversational search	-0.7884	-0.0514	1	10	22	13	2021.4615	48.4615	1.109
161	conversational systems	-0.3181	-0.3403	1	6	9	5	2021.6	15.8	1.577
162	conversational ui design	0.7984	1.2295	7	1	5	6	2023	5.3333	0.476
172	critiquing	0.2952	-0.2791	1	11	34	23	2016.9565	21.3913	0.906
194	datasets	-0.7741	-0.1815	1	5	11	7	2023.4286	61.2857	3.8012
203	deep learning	0.3126	0.0431	3	9	13	6	2022.3333	11.6667	0.4479
224	dialogue generation	-0.8562	-0.4699	1	3	5	5	2023.8	18.4	1.6362
235	dialogue systems	-0.5533	0.1242	5	23	66	32	2020.8438	70.9062	2.0342
251	diversity	1.1921	-0.333	4	3	4	6	2017.3333	4.5	0.2535
266	e-commerce	0.4407	-0.214	3	9	20	7	2023.8571	10.2857	0.8691
291	evaluation	-0.4485	-0.8386	6	8	25	15	2022.9333	8.3333	0.5584
303	explainable recommendation	-0.3393	-0.6156	8	6	18	9	2021.7778	15.1111	0.7695
304	explanation	0.4159	-0.6829	3	10	18	8	2018.375	24.125	1.0722
341	functional requirements	1.0572	0.078	4	7	20	8	2019.625	6	0.49
350	generative ai	0.1122	0.6162	2	8	14	6	2025	2	0.2633
366	graph neural network	0.2835	0.6284	2	7	11	7	2023.1429	5	0.4934
370	graph representation learning	0.1611	0.7582	2	4	12	8	2022.875	35.625	1.9243
397	human-computer interaction	0.5394	-0.5251	3	9	12	6	2020	11	0.5619
430	information retrieval	-0.447	-0.1888	1	10	17	7	2021	23.2857	0.7203
461	interactive recommendation	0.0063	-0.7518	3	6	17	9	2022.1111	86.8889	3.865
484	knowledge base	-0.8471	0.2607	5	6	15	5	2020.4	12.8	0.4606
489	knowledge graph	-0.393	0.4359	2	19	83	45	2023.1333	17.2444	0.8799
501	knowledge-based recommender system	1.0559	0.3486	4	7	26	9	2021.5556	2.8889	0.2046
509	large language models	-0.1456	0.2663	2	24	119	80	2024.85	6.9125	1.4219
538	memory network	-0.9454	0.2019	5	5	13	5	2021	78.2	1.3885
616	natural language processing	-0.3516	0.235	5	21	62	30	2021.6667	10.2	0.3873
643	online learning	-0.1567	-0.9754	1	4	12	11	2022.4545	50.0909	1.7768
646	ontology	1.097	0.2148	4	10	49	18	2020.2778	6.0556	0.3203
670	personalization	0.0586	-0.4824	3	15	40	15	2021.4667	10.4667	0.6078
694	pre-trained language model	-0.4175	1.1142	2	5	14	8	2024	32.5	2.3639
698	preference elicitation	-0.1571	-0.5177	1	16	30	18	2017.5556	30.5	1.8597
705	preference-based feedback	1.1477	-0.3531	4	3	6	7	2015	12.2857	0.7431
726	product functional requirements	0.9768	0.2088	4	7	25	7	2017.7143	10	0.6782
734	prompt learning	-0.3795	0.9826	2	7	18	12	2024.1667	19.5833	1.685
761	recommendation	-0.6834	-0.3362	1	11	16	10	2022.6	50	1.7451
770	recommender systems	0.006	-0.1048	1	43	243	130	2019.8923	21.3154	1.0441
775	reinforcement learning	-0.0776	0.5466	2	16	49	28	2019.4643	45.8214	1.631
817	semantic web	0.6694	0.3607	4	8	21	6	2020	15.3333	0.799
894	transformer	-0.2423	0.5851	2	10	17	7	2023.8571	13.8571	1.2431
903	trust	0.4257	-0.5584	3	11	16	6	2023.1667	24.6667	5.6009
912	user experience	-0.104	-0.1491	1	10	17	10	2023.1	15.4	1.7014
920	user interface	0.313	-0.6932	3	11	15	5	2021.2	30.2	1.9959
922	user modeling	0.7038	0.0746	4	10	24	11	2018.9091	16	0.8785
927	user preference	-0.8415	-0.2791	1	4	4	6	2023.6667	13.8333	0.5913
940	user simulation	-0.4234	-0.9677	6	4	14	10	2023.3	24.6	1.1473
941	user simulator	-0.0252	0.7589	2	6	14	6	2023.8333	11.5	2.445
942	user study	0.2716	-0.4764	3	17	37	14	2017.3571	42.3571	1.7484
