left,hit,right,title
 contains recommended items and critiques that sufficiently ,overlap, with the ones in the current session. Our experimental resu,CSFinder: A cold-start friend finder in large-scale social networks
" session (i.e., optimizing the ends). Though these aims are ",overlapping," across both areas, they can be better examined together to ",Unifying Recommender Systems and Conversational User Interfaces
nes in the cur- rent session and its critiques sufficiently ,overlap, with the cri- tiques so far in the current session. HAC ext,History-aware critiquing-based conversational recommendation
tance combinations and accept multiple items with partially ,overlapped, combinations of attribute instances. To effectively cope wi,Multi-Interest Multi-Round Conversational Recommendation System with Fuzzy Feedb
 ones in the current session and its critiques sufficiently ,overlap, with the critiques so far in the current session. HAC exten,History-Aware Critiquing-Based Conversational Recommendation
tance combinations and accept multiple items with partially ,overlapped, combinations of attribute instances. To effectively cope wi,Multiple Choice Questions based Multi-Interest Policy Learning for Conversationa
 contains recommended items and critiques that sufficiently ,overlap, with the ones in the current session. Our experimental resu,CSFinder: A Cold-Start Friend Finder in Large-Scale Social Networks
