left,hit,right,title
ed applications and the provisioning of shared knowledge as ,common ground, to specific questions of interaction and conversation desig,Challenges in Integrating Conversational AI and GUI-Based Applications
r specific beliefs in the respective representations of the ,common ground,", to act towards a common goal. The goal of such systems is ",Linguistics-based dialogue simulations to evaluate argumentative conversational 
