rank,collocate,count
1,preference,228
2,model,221
3,learning,136
4,feedback,64
5,capture,56
6,elicit,49
7,representation,39
8,feature,34
9,attribute,32
10,policy,31
11,intent,29
12,predict,27
13,data,27
14,simulate,23
15,extract,22
16,query,20
17,simulation,19
18,simulator,17
19,preferences,14
20,prediction,14
21,optimize,13
22,profile,12
23,rating,10
24,signal,9
25,embedding,9
26,optimization,8
27,input,6
28,modelling,6
29,attributes,5
30,vector,4
31,reward,4
32,embeddings,2
33,slot,1
