term,collocate,cooc,coll_freq,logDice,register
overlap,sufficiently,4,6,13.3,other
overlap,session,7,163,10.398,other
overlap,current,5,188,9.715,other
overlap,critique,5,270,9.208,other
overlap,item,4,907,7.164,other
