yr,scopus,both,wos
2001,0,0,1
2002,0,0,0
2003,0,0,1
2004,3,2,3
2005,6,5,5
2006,5,1,4
2007,8,0,3
2008,3,1,2
2009,8,1,3
2010,5,1,2
2011,1,1,2
2012,2,2,0
2013,8,2,3
2014,7,2,4
2015,4,2,2
2016,2,3,2
2017,6,5,1
2018,5,14,2
2019,10,9,2
2020,14,33,0
2021,35,42,7
2022,37,62,6
2023,45,58,15
2024,39,76,14
2025,62,81,7
2026,37,18,2
