term,collocate,cooc,coll_freq,logDice,register
engagement,trust,3,42,10.541,other
engagement,improve,3,334,8.101,other
engagement,user,12,3342,6.868,other
engagement,crs,3,1150,6.388,other
engagement,recommendation,3,2577,5.24,other
