band,instrumental,interactional,n_records,instrumental_share
ALL,1955,4,866,0.998
Origins (<=2017),152,0,134,1.0
Neural turn (2018-2022),683,3,278,0.996
LLM/genAI (2023+),1120,1,454,0.999
